Category,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21,4/11/21,4/12/21,4/13/21,4/14/21,4/15/21,4/16/21,4/17/21,4/18/21,4/19/21,4/20/21,4/21/21,4/22/21,4/23/21,4/24/21,4/25/21,4/26/21,4/27/21,4/28/21,4/29/21,4/30/21
Beverages,62.75,71,86.5,0,0,0,62.25,58.5,88.75,102.25,84,0,0,54.75,74.5,49.75,92.5,65.25,0,0,59,42.5,56.25,114.75,65.75,0,0,78.5,77.75,73.25
Caramel Apples ,853,781,754,0,0,0,811,741,963,862,945,0,0,671,681,740,721,750,0,0,711,551,547,1000,722,0,0,872,554,845
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,312.5,320.5,417.25,0,0,0,367.25,257.75,398,387.75,416.25,0,0,257.5,324,282.25,507.25,401.75,0,0,350.75,254.25,218,409,276,0,0,303.5,273.25,402.5
Corn,99,163.75,148.25,0,0,0,122.25,154,101.5,151.25,162.75,0,0,88.25,120.25,94.5,149.75,104,0,0,100.5,133,80.5,181.25,107.5,0,0,137,64.75,58
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,24,106,167,0,0,0,116,62,116,132,67,0,0,60,79,77,115,106,0,0,82,70,92,51,87,0,0,51,49,87
Funnel Cakes,849.5,1136.5,1401,0,0,0,830,683.5,1030,1255.5,1250.5,0,0,831,897.5,1117,1190,1357.5,0,0,746,835,876.5,1350,1136,0,0,848,794,948.5
Dogs,400,454.5,359,0,0,0,476.75,420.25,592.5,354,438.75,0,0,335,459.5,385.25,288.75,428.75,0,0,331.75,407.75,435.25,466,450.25,0,0,439.25,256,488.25
Ice Cream,228.5,191.5,203.5,0,0,0,184.5,195.5,267.5,253,255.5,0,0,173.5,143.5,120.5,141,237,0,0,149.5,103.5,147,253,238.5,0,0,122,135,240
Oreos ,203.5,253.5,303,0,0,0,248,221,265.5,332.5,335.5,0,0,125,233.5,261.5,313,353,0,0,231.5,216.5,215,333.5,271,0,0,234,188,291
Popcorn,298.46,308.57,339.39,0,0,0,383.38,248.62,341.51,329.39,360.44,0,0,285.55,234.65,305.55,398.38,325.45,0,0,269.55,300.57,289.46,390.42,304.56,0,0,182.76,224.58,243.51
Ice Cream,14,35.5,25.5,0,0,0,57.5,47.5,60.5,59.5,41,0,0,17,7,57,55.5,71,0,0,92.5,21,31,36,38,0,0,99,24,7
Vegetarian Dogs,0,25.25,9.5,0,0,0,29,5,11,5,19.5,0,0,0,0,20,5,29.75,0,0,15,0,10,0,15,0,0,15,25.25,0
Vegetarian Dogs,0,32.25,0,0,0,0,21.5,13.5,11,12,11,0,0,6.5,5.5,30.75,16.5,5.5,0,0,20.25,0,0,5.5,10.75,0,0,0,5.5,0