Category,12/1/21,12/2/21,12/3/21,12/4/21,12/5/21,12/6/21,12/7/21,12/8/21,12/9/21,12/10/21,12/11/21,12/12/21,12/13/21,12/14/21,12/15/21,12/16/21,12/17/21,12/18/21,12/19/21,12/20/21,12/21/21,12/22/21,12/23/21,12/24/21,12/25/21,12/26/21,12/27/21,12/28/21,12/29/21,12/30/21,12/31/21
Beverages,65.25,45.25,62.75,57,60.75,0,0,39.5,34,35,61.5,33,0,0,42.25,42.25,35.75,64.25,50.5,0,0,0,0,0,0,0,0,0,0,0,0
Caramel Apples ,427,331,384,362,481,0,0,379,319,332,376,366,0,0,374,316,379,384,568,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churros,117,93,132,327,180,0,0,138,171,126,189,240,0,0,141,120,123,270,282,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,228,194.75,135.25,315,245.75,0,0,95.25,134.75,126,208.75,143.5,0,0,126,209.25,174.75,272.5,315.75,0,0,0,0,0,0,0,0,0,0,0,0
Corn,103.5,55,48.5,72.25,61,0,0,50.25,97.5,49.5,109.25,36,0,0,63.25,59.5,69,97.75,130,0,0,0,0,0,0,0,0,0,0,0,0
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotton Candy ,32,28,12,36,16,0,0,20,24,28,84,8,0,0,8,36,8,20,28,0,0,0,0,0,0,0,0,0,0,0,0
Fries,60,48,60,72,76,0,0,38,53,56,52,56,0,0,24,51,37,114,55,0,0,0,0,0,0,0,0,0,0,0,0
Funnel Cakes,488.5,438.5,507,654.5,490.5,0,0,361,371,569,758,684,0,0,398.5,418,287.5,550.5,815.5,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,337.5,201.25,197.5,264.75,383.75,0,0,149.75,223.75,146,388,200,0,0,248.75,317.75,162,337.5,390,0,0,0,0,0,0,0,0,0,0,0,0
Ice Cream,70.5,43.5,99.5,180.5,165,0,0,84,71,82.5,185.5,56.5,0,0,70,71.5,132,167.5,142.5,0,0,0,0,0,0,0,0,0,0,0,0
Oreos ,153,101.5,104.5,171.5,222.5,0,0,92,175.5,121.5,137.5,142,0,0,124.5,117,63.5,146,198.5,0,0,0,0,0,0,0,0,0,0,0,0
Popcorn,138.79,177.63,94.82,186.66,108.83,0,0,170.7,167.69,69.88,199.67,165.75,0,0,133.79,187.75,247.66,359.48,299.52,0,0,0,0,0,0,0,0,0,0,0,0
Ice Cream,7,9.5,7,16.5,9.5,0,0,23.5,0,26.5,21,26,0,0,0,21,21.5,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0
Vegetarian Dogs,0,9.5,0,11,14.5,0,0,9.5,0,0,5,14.5,0,0,0,20,15,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0
Vegetarian Dogs,0,11,0,15.5,10,0,0,0,20,15.5,0,5.5,0,0,20,10,30,11,11.75,0,0,0,0,0,0,0,0,0,0,0,0