Category,7/1/21,7/2/21,7/3/21,7/4/21,7/5/21,7/6/21,7/7/21,7/8/21,7/9/21,7/10/21,7/11/21,7/12/21,7/13/21,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21
Beverages,75,75.25,72.5,0,0,0,46,67.5,83,118.75,98.5,0,0,0,46,52,70.75,79,0,0,55,52.75,48.5,93.25,96,0,0,70.75,69.75,52.75,97.25
Caramel Apples ,461,529,642,0,0,0,385,553,628,623,600,0,0,0,781,621,643,659,0,0,408,340,496,840,761,0,0,680,399,491,786
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,363.5,226.75,352.75,0,0,0,293.75,277.75,330.75,338.25,332.75,0,0,0,253.25,326.25,341.5,405,0,0,311.75,177.75,433.25,339.5,376.5,0,0,239,186.75,359.25,398
Corn,86.5,72.75,109.75,0,0,0,122.25,140.5,117.75,55.75,152.75,0,0,0,83.75,88.25,164.25,91,0,0,76.25,55,132.5,127.5,133.25,0,0,130,92.25,110.25,198.75
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,66,76,94,0,0,0,31,56,115,77,95,0,0,0,59,126,88,128,0,0,46,16,41,124,117,0,0,56,5,50,84
Funnel Cakes,748.5,758.5,1108,0,0,0,562.5,536.5,936,1039,1239,0,0,0,681,723,888,870,0,0,694,704.5,758.5,910,1182,0,0,628.5,590.5,796.5,1080
Dogs,254,261.75,360.25,0,0,0,387.5,383.5,277.75,339.5,488.25,0,0,0,389.5,274,432,369.75,0,0,328.25,229.75,268,362.75,321,0,0,313.5,263,344,571.25
Ice Cream,107.5,118,183.5,0,0,0,89,126.5,202,229,211,0,0,0,114,204,161.5,91.5,0,0,99.5,85.5,132.5,146.5,193,0,0,130,136.5,196.5,190
Oreos ,153.5,222,255,0,0,0,105.5,224.5,218.5,279,221,0,0,0,175,218,194,229,0,0,120,224.5,178,148.5,205,0,0,169.5,131,210.5,227
Popcorn,203.65,170.7,256.56,0,0,0,308.51,220.65,298.52,201.65,332.43,0,0,0,275.59,259.58,172.64,348.43,0,0,184.69,208.64,201.67,285.52,303.48,0,0,358.49,217.6,174.64,278.54
Vegetarian Dogs,14.5,5,5,0,0,0,24.5,38,19.5,15.25,29.5,0,0,0,31,0,24.75,0,0,0,9.5,9.5,5,5,0,0,0,29,10,24,5
Vegetarian Dogs,5.5,12,73.5,0,0,0,16.25,10,20,17.5,0,0,0,0,0,0,27.5,0,0,0,20,0,10.75,0,0,0,0,0,0,5.5,5.5
Ice Cream,0,7,51.5,0,0,0,43,0,0,99,31,0,0,0,46,14.5,14.5,16.5,0,0,50,27,27.5,19,45,0,0,7,19,34.5,7.5