,Beverages,Caramel Apples,Chicken Tenders,Churros,Corn,Covered Strawberries,Dogs,Fries,Funnel Cakes,Ice Cream,Oreos,Popcorn,Vegetarian Dogs
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,39.5,435.0,0.0,0.0,102.25,0.0,567.75,0.0,557.5,89.0,124.0,261.62,30.25
2020-12-03,41.0,296.0,0.0,0.0,146.25,0.0,557.0,0.0,511.0,97.5,106.5,178.73,9.5
2020-12-04,59.5,541.0,0.0,0.0,115.75,0.0,611.25,0.0,554.5,133.0,210.0,375.39,19.5
2020-12-05,54.0,394.0,0.0,0.0,126.75,0.0,538.25,0.0,647.0,100.0,225.0,201.58,70.0
2020-12-06,74.5,391.0,0.0,0.0,94.0,0.0,539.0,0.0,647.0,122.0,195.0,132.71,10.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,42.5,308.0,0.0,0.0,56.5,0.0,364.25,0.0,332.0,116.75,133.5,241.63,0.0
2020-12-10,37.0,280.0,0.0,0.0,80.5,0.0,345.0,0.0,339.0,128.25,149.5,126.75,5.0
2020-12-11,52.5,249.0,0.0,0.0,91.75,0.0,358.25,0.0,503.0,46.5,81.0,144.74,14.5
2020-12-12,53.0,272.0,0.0,0.0,64.25,0.0,394.25,0.0,676.5,86.75,152.0,193.73,0.0
2020-12-13,26.0,191.0,0.0,0.0,102.5,0.0,358.0,0.0,454.0,47.5,148.0,150.76,25.75
2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,42.5,383.0,0.0,0.0,59.25,0.0,509.5,0.0,410.0,34.0,116.0,152.72,0.0
2020-12-17,32.0,301.0,0.0,0.0,16.5,0.0,485.0,0.0,377.5,115.5,176.0,190.7,11.25
2020-12-18,38.0,368.0,0.0,0.0,127.0,0.0,362.0,0.0,504.0,113.75,168.0,153.73,16.75
2020-12-19,49.0,220.0,0.0,0.0,87.5,0.0,409.0,0.0,590.5,110.25,186.5,139.76,10.75
2020-12-20,46.0,409.0,0.0,0.0,85.5,0.0,530.25,0.0,725.5,92.25,180.0,160.76,15.5
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-23,24.5,449.0,0.0,0.0,100.0,0.0,488.75,0.0,364.0,56.0,116.5,208.66,56.0
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-26,66.0,394.0,0.0,0.0,136.25,0.0,523.75,0.0,689.5,67.0,161.0,240.63,20.75
2020-12-27,46.0,543.0,0.0,0.0,92.75,0.0,523.0,0.0,646.5,132.0,231.5,204.64,5.0
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,22.0,559.0,0.0,0.0,78.5,0.0,597.75,0.0,646.0,95.5,173.5,206.59,10.0
2021-01-08,48.0,575.0,0.0,0.0,76.75,0.0,768.25,0.0,435.5,157.5,155.5,242.59,10.0
2021-01-09,47.5,513.0,0.0,0.0,82.5,0.0,607.0,0.0,966.0,155.75,395.0,352.4,0.0
2021-01-10,63.0,511.0,0.0,0.0,103.25,0.0,509.0,0.0,614.5,156.75,248.5,194.62,10.5
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,68.5,567.0,0.0,0.0,66.0,0.0,531.0,0.0,685.5,125.25,206.0,178.67,0.0
2021-01-14,51.0,507.0,0.0,0.0,84.5,0.0,423.0,0.0,610.5,117.25,221.5,194.63,0.0
2021-01-15,61.0,449.0,0.0,0.0,99.0,0.0,711.25,7.0,762.5,158.5,210.0,220.59,10.0
2021-01-16,60.5,497.0,0.0,0.0,111.0,0.0,601.25,52.0,880.0,206.75,313.0,274.62,20.5
2021-01-17,62.0,678.0,0.0,0.0,107.0,0.0,652.5,34.0,813.5,225.25,239.0,148.75,10.5
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,52.75,465.0,0.0,0.0,141.75,0.0,597.25,103.0,738.5,159.5,257.5,196.7,5.0
2021-01-21,67.75,500.0,0.0,0.0,104.0,0.0,589.0,37.0,638.5,87.5,191.0,218.63,0.0
2021-01-22,38.0,613.0,0.0,0.0,83.5,0.0,472.25,49.0,866.5,219.5,200.5,152.76,0.0
2021-01-23,64.0,712.0,0.0,0.0,137.5,0.0,781.5,115.0,1136.0,220.0,276.0,341.45,0.0
2021-01-24,39.5,423.0,0.0,0.0,117.0,0.0,595.0,62.0,755.5,161.0,201.0,218.63,14.5
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-27,46.5,497.0,0.0,0.0,57.0,0.0,492.25,81.0,525.0,120.5,171.5,222.69,26.0
2021-01-28,66.0,604.0,0.0,0.0,83.75,0.0,637.25,41.0,574.5,137.0,174.5,270.54,15.5
2021-01-29,54.75,754.0,0.0,0.0,97.75,0.0,939.75,75.0,896.0,152.5,143.0,230.51,20.75
2021-01-30,53.25,996.0,0.0,0.0,118.25,0.0,690.0,70.0,1089.0,171.0,313.0,456.26,10.0
2021-01-31,46.0,778.0,0.0,0.0,157.5,0.0,704.5,93.0,1168.5,220.5,319.5,215.61,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-03,56.25,732.0,0.0,0.0,100.75,0.0,615.75,110.0,760.5,150.0,249.5,240.61,10.0
2021-02-04,39.5,470.0,0.0,0.0,123.75,0.0,416.0,77.0,550.5,113.0,212.5,235.55,0.0
2021-02-05,49.0,639.0,0.0,0.0,83.0,0.0,626.5,64.0,745.5,161.5,208.0,237.61,5.0
2021-02-06,69.25,941.0,0.0,0.0,129.75,0.0,891.25,117.0,1057.0,328.0,312.5,279.5,5.5
2021-02-07,70.25,616.0,0.0,0.0,184.5,0.0,563.0,83.0,958.0,183.5,229.5,265.6,10.0
2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-09,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.98,0.0
2021-02-10,46.75,571.0,0.0,0.0,104.25,0.0,620.5,112.0,712.0,86.5,154.0,161.72,10.0
2021-02-11,39.75,519.0,0.0,0.0,82.25,0.0,406.5,65.0,523.0,71.5,113.0,267.43,10.5
2021-02-12,60.0,701.0,0.0,0.0,137.25,0.0,654.75,109.0,675.0,219.5,146.0,307.39,26.5
2021-02-13,59.75,811.0,0.0,0.0,110.75,0.0,742.75,80.0,993.5,288.5,254.0,318.51,11.5
2021-02-14,68.25,821.0,0.0,0.0,133.25,0.0,812.5,81.0,881.5,188.0,287.5,298.52,47.25
2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-17,36.25,695.0,0.0,0.0,124.5,0.0,587.75,101.0,581.5,166.0,166.0,185.72,21.0
2021-02-18,49.25,614.0,0.0,0.0,114.5,0.0,602.5,64.0,673.5,146.5,232.5,183.72,10.0
2021-02-19,51.5,660.0,0.0,0.0,121.5,0.0,621.75,45.0,647.5,218.5,237.0,230.61,0.0
2021-02-20,97.0,914.0,0.0,0.0,155.75,0.0,809.0,161.0,1042.0,190.5,310.5,275.53,51.75
2021-02-21,78.5,956.0,0.0,0.0,138.0,0.0,697.5,123.0,1173.5,194.0,156.5,439.24,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-24,100.75,830.0,0.0,0.0,151.25,0.0,610.0,124.0,744.0,184.0,208.5,237.61,15.5
2021-02-25,74.25,700.0,0.0,0.0,141.0,0.0,542.5,42.0,791.5,109.0,152.5,274.56,44.75
2021-02-26,51.0,649.0,0.0,0.0,75.0,0.0,550.5,84.0,783.5,261.0,319.5,221.61,5.0
2021-02-27,89.25,982.0,0.0,0.0,162.5,0.0,842.0,159.0,1193.5,385.0,330.5,361.45,25.5
2021-02-28,55.75,819.0,0.0,0.0,118.0,0.0,706.25,127.0,1117.5,312.0,281.0,331.49,5.5
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,59.0,754.0,0.0,0.0,112.75,0.0,660.5,83.0,780.0,249.0,287.0,262.56,10.0
2021-03-04,78.5,729.0,0.0,0.0,107.25,0.0,666.25,45.0,1008.5,91.0,183.5,324.39,0.0
2021-03-05,49.75,564.0,0.0,0.0,53.0,0.0,562.5,26.0,713.0,125.0,245.5,370.45,24.5
2021-03-06,70.0,928.0,0.0,0.0,115.25,0.0,974.5,89.0,1320.5,296.5,361.5,468.24,22.0
2021-03-07,97.5,852.0,0.0,0.0,125.75,0.0,910.25,127.0,1328.0,267.0,422.0,242.57,36.0
2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,51.5,587.0,0.0,0.0,102.0,0.0,702.75,58.0,922.0,161.0,164.5,228.6,0.0
2021-03-11,38.0,666.0,0.0,0.0,114.75,0.0,461.25,79.0,751.0,182.0,201.5,320.48,23.0
2021-03-12,60.25,630.0,0.0,0.0,115.0,0.0,679.5,78.0,835.0,256.0,250.0,286.53,20.0
2021-03-13,68.25,928.0,0.0,0.0,188.0,0.0,813.0,50.0,1047.0,300.0,425.0,402.35,21.0
2021-03-14,63.0,928.0,0.0,0.0,87.0,0.0,767.25,67.0,1016.0,158.0,249.0,335.46,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-17,51.0,726.0,0.0,0.0,78.75,0.0,594.75,57.0,855.0,123.5,145.0,183.62,10.25
2021-03-18,40.5,568.0,0.0,0.0,74.5,0.0,681.75,81.0,658.0,128.5,219.0,179.73,5.0
2021-03-19,49.0,802.0,0.0,0.0,111.0,0.0,648.0,79.0,894.0,141.5,236.5,412.4,31.25
2021-03-20,46.5,566.0,0.0,0.0,97.25,0.0,623.5,92.0,1027.0,196.5,250.0,312.47,5.0
2021-03-21,74.75,1003.0,0.0,0.0,148.0,0.0,995.25,63.0,1075.5,240.5,334.0,278.54,20.5
2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-24,55.0,776.0,0.0,0.0,127.5,0.0,658.25,52.0,903.5,284.5,218.0,310.51,0.0
2021-03-25,67.0,979.0,0.0,0.0,131.5,0.0,695.0,42.0,937.5,149.0,226.0,242.54,29.75
2021-03-26,58.0,798.0,0.0,0.0,107.75,0.0,725.25,77.0,1067.5,318.0,256.5,381.34,10.0
2021-03-27,87.25,795.0,0.0,0.0,114.25,0.0,1163.75,145.0,1297.5,250.5,412.5,328.46,15.0
2021-03-28,91.5,850.0,0.0,0.0,169.75,0.0,1049.0,145.0,1249.5,344.5,303.5,454.24,21.75
2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,88.25,895.0,0.0,0.0,99.75,0.0,844.75,112.0,957.0,179.0,219.5,214.6,14.5
2021-04-01,62.75,853.0,0.0,0.0,99.0,0.0,712.5,24.0,849.5,242.5,203.5,298.46,0.0
2021-04-02,71.0,781.0,0.0,0.0,163.75,0.0,775.0,106.0,1136.5,227.0,253.5,308.57,57.5
2021-04-03,86.5,754.0,0.0,0.0,148.25,0.0,776.25,167.0,1401.0,229.0,303.0,339.39,9.5
2021-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-07,62.25,811.0,0.0,0.0,122.25,0.0,844.0,116.0,830.0,242.0,248.0,383.38,50.5
2021-04-08,58.5,741.0,0.0,0.0,154.0,0.0,678.0,62.0,683.5,243.0,221.0,248.62,18.5
2021-04-09,88.75,963.0,0.0,0.0,101.5,0.0,990.5,116.0,1030.0,328.0,265.5,341.51,22.0
2021-04-10,102.25,862.0,0.0,0.0,151.25,0.0,741.75,132.0,1255.5,312.5,332.5,329.39,17.0
2021-04-11,84.0,945.0,0.0,0.0,162.75,0.0,855.0,67.0,1250.5,296.5,335.5,360.44,30.5
2021-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-14,54.75,671.0,0.0,0.0,88.25,0.0,592.5,60.0,831.0,190.5,125.0,285.55,6.5
2021-04-15,74.5,681.0,0.0,0.0,120.25,0.0,783.5,79.0,897.5,150.5,233.5,234.65,5.5
2021-04-16,49.75,740.0,0.0,0.0,94.5,0.0,667.5,77.0,1117.0,177.5,261.5,305.55,50.75
2021-04-17,92.5,721.0,0.0,0.0,149.75,0.0,796.0,115.0,1190.0,196.5,313.0,398.38,21.5
2021-04-18,65.25,750.0,0.0,0.0,104.0,0.0,830.5,106.0,1357.5,308.0,353.0,325.45,35.25
2021-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21,59.0,711.0,0.0,0.0,100.5,0.0,682.5,82.0,746.0,242.0,231.5,269.55,35.25
2021-04-22,42.5,551.0,0.0,0.0,133.0,0.0,662.0,70.0,835.0,124.5,216.5,300.57,0.0
2021-04-23,56.25,547.0,0.0,0.0,80.5,0.0,653.25,92.0,876.5,178.0,215.0,289.46,10.0
2021-04-24,114.75,1000.0,0.0,0.0,181.25,0.0,875.0,51.0,1350.0,289.0,333.5,390.42,5.5
2021-04-25,65.75,722.0,0.0,0.0,107.5,0.0,726.25,87.0,1136.0,276.5,271.0,304.56,25.75
2021-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28,78.5,872.0,0.0,0.0,137.0,0.0,742.75,51.0,848.0,221.0,234.0,182.76,15.0
2021-04-29,77.75,554.0,0.0,0.0,64.75,0.0,529.25,49.0,794.0,159.0,188.0,224.58,30.75
2021-04-30,73.25,845.0,0.0,0.0,58.0,0.0,890.75,87.0,948.5,247.0,291.0,243.51,0.0
2021-05-01,76.75,1135.0,0.0,0.0,86.5,0.0,867.0,93.0,1217.0,288.5,331.5,463.06,5.0
2021-05-02,128.25,886.0,0.0,0.0,179.25,0.0,1007.25,117.0,1360.0,389.0,252.0,487.16,61.5
2021-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05,73.5,1832.0,0.0,0.0,127.25,0.0,640.5,67.0,842.5,128.5,317.0,292.55,5.5
2021-05-06,50.25,332.0,0.0,0.0,82.5,0.0,540.25,68.0,721.5,125.0,181.5,230.62,34.5
2021-05-07,62.75,597.0,0.0,0.0,117.25,0.0,656.25,117.0,1009.5,184.5,242.0,284.53,32.75
2021-05-08,98.0,770.0,0.0,0.0,167.5,0.0,809.75,116.0,1222.0,267.0,277.5,311.39,60.0
2021-05-09,111.5,668.0,0.0,0.0,137.5,0.0,727.0,115.0,1153.5,310.0,309.5,358.4,0.0
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-12,42.25,641.0,0.0,0.0,114.25,0.0,554.25,46.0,602.5,122.0,227.0,203.68,19.5
2021-05-13,42.75,473.0,0.0,0.0,75.75,0.0,482.75,76.0,724.5,133.5,165.0,170.72,5.0
2021-05-14,46.75,1131.0,0.0,0.0,83.5,0.0,564.5,125.0,907.5,138.0,201.5,700.57,5.0
2021-05-15,60.25,975.0,0.0,0.0,116.25,0.0,922.0,102.0,1040.5,216.5,244.0,395.34,5.0
2021-05-16,95.75,675.0,0.0,0.0,108.75,0.0,732.25,114.0,1101.0,280.0,341.0,308.43,5.0
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-19,65.25,470.0,0.0,0.0,128.75,0.0,744.0,67.0,894.5,179.0,195.0,216.62,10.75
2021-05-20,52.5,885.0,0.0,0.0,64.25,0.0,509.25,61.0,706.0,109.0,268.0,700.37,0.0
2021-05-21,62.75,642.0,0.0,0.0,110.5,0.0,785.75,79.0,917.0,229.0,139.0,278.53,5.0
2021-05-22,77.5,846.0,0.0,0.0,179.25,0.0,781.75,64.0,1076.0,298.5,231.0,434.4,5.0
2021-05-23,79.75,789.0,0.0,0.0,135.75,0.0,959.5,107.0,1276.5,277.0,378.5,326.42,15.5
2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-26,104.25,614.0,0.0,0.0,128.75,0.0,805.25,69.0,1055.5,226.5,258.0,239.58,35.0
2021-05-27,63.5,639.0,0.0,0.0,101.75,0.0,445.75,28.0,525.0,150.5,223.0,209.67,26.0
2021-05-28,64.75,685.0,0.0,0.0,133.75,0.0,579.5,73.0,933.0,184.0,127.5,308.35,46.0
2021-05-29,58.25,737.0,0.0,0.0,121.5,0.0,679.5,107.0,1072.5,240.0,264.5,196.64,21.0
2021-05-30,79.5,766.0,0.0,0.0,119.0,0.0,628.75,100.0,1034.5,279.0,329.5,323.45,39.0
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-02,53.25,743.0,0.0,0.0,109.25,0.0,515.25,55.0,674.0,82.0,232.5,321.43,5.5
2021-06-03,63.0,395.0,0.0,0.0,118.5,0.0,504.0,68.0,761.0,296.0,121.5,216.71,43.0
2021-06-04,46.0,364.0,0.0,0.0,68.25,0.0,432.75,40.0,537.0,131.5,148.5,179.7,35.5
2021-06-05,81.5,582.0,0.0,0.0,66.25,0.0,692.5,110.0,1069.0,155.0,150.5,293.58,0.0
2021-06-06,66.75,702.0,0.0,0.0,122.25,0.0,820.0,110.0,845.0,242.5,220.5,321.45,16.5
2021-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-09,64.75,790.0,0.0,0.0,138.0,0.0,648.25,77.0,850.5,81.5,211.0,288.51,25.0
2021-06-10,3.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
