Category,5/1/21,5/2/21,5/3/21,5/4/21,5/5/21,5/6/21,5/7/21,5/8/21,5/9/21,5/10/21,5/11/21,5/12/21,5/13/21,5/14/21,5/15/21,5/16/21,5/17/21,5/18/21,5/19/21,5/20/21,5/21/21,5/22/21,5/23/21,5/24/21,5/25/21,5/26/21,5/27/21,5/28/21,5/29/21,5/30/21,5/31/21
Beverages,76.75,128.25,0,0,73.5,50.25,62.75,98,111.5,0,0,42.25,42.75,46.75,60.25,95.75,0,0,65.25,52.5,62.75,77.5,79.75,0,0,104.25,63.5,64.75,58.25,79.5,0
Caramel Apples ,1135,886,0,0,1832,332,597,770,668,0,0,641,473,1131,975,675,0,0,470,885,642,846,789,0,0,614,639,685,737,766,0
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,434.25,439,0,0,327.5,191.25,351.75,397.75,297,0,0,265.25,240,276,436,331.25,0,0,196.25,256,296.75,407,424.75,0,0,399.5,183.75,303.5,383.5,337.25,0
Corn,86.5,179.25,0,0,127.25,82.5,117.25,167.5,137.5,0,0,114.25,75.75,83.5,116.25,108.75,0,0,128.75,64.25,110.5,179.25,135.75,0,0,128.75,101.75,133.75,121.5,119,0
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,93,117,0,0,67,68,117,116,115,0,0,46,76,125,102,114,0,0,67,61,79,64,107,0,0,69,28,73,107,100,0
Funnel Cakes,1217,1360,0,0,842.5,721.5,1009.5,1222,1153.5,0,0,602.5,724.5,907.5,1040.5,1101,0,0,894.5,706,917,1076,1276.5,0,0,1055.5,525,933,1072.5,1034.5,0
Dogs,432.75,568.25,0,0,313,349,304.5,412,430,0,0,289,242.75,288.5,486,401,0,0,547.75,253.25,489,374.75,534.75,0,0,405.75,262,276,296,291.5,0
Ice Cream,241,325.5,0,0,95,84.5,154,211.5,255.5,0,0,90,91.5,105,153,227,0,0,162.5,109,209,250.5,227.5,0,0,189.5,120,170,206,248.5,0
Oreos ,331.5,252,0,0,317,181.5,242,277.5,309.5,0,0,227,165,201.5,244,341,0,0,195,268,139,231,378.5,0,0,258,223,127.5,264.5,329.5,0
Popcorn,463.06,487.16,0,0,292.55,230.62,284.53,311.39,358.4,0,0,203.68,170.72,700.57,395.34,308.43,0,0,216.62,700.37,278.53,434.4,326.42,0,0,239.58,209.67,308.35,196.64,323.45,0
Ice Cream,47.5,63.5,0,0,33.5,40.5,30.5,55.5,54.5,0,0,32,42,33,63.5,53,0,0,16.5,0,20,48,49.5,0,0,37,30.5,14,34,30.5,0
Vegetarian Dogs,5,25,0,0,0,14.5,0,49.25,0,0,0,19.5,5,5,5,5,0,0,0,0,5,5,10,0,0,29.5,5,24,0,33.5,0
Vegetarian Dogs,0,36.5,0,0,5.5,20,32.75,10.75,0,0,0,0,0,0,0,0,0,0,10.75,0,0,0,5.5,0,0,5.5,21,22,21,5.5,0