Category,10/1/21,10/2/21,10/3/21,10/4/21,10/5/21,10/6/21,10/7/21,10/8/21,10/9/21,10/10/21,10/11/21,10/12/21,10/13/21,10/14/21,10/15/21,10/16/21,10/17/21,10/18/21,10/19/21,10/20/21,10/21/21,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/27/21,10/28/21,10/29/21,10/30/21,10/31/21
Beverages,59.75,101.25,134.25,0,0,40,49,52.5,85.5,121.5,0,0,61.75,44.75,102.5,71,79.25,0,0,56.5,61.5,70.25,78.75,37,0,0,54.75,46.75,41.5,62.25,0
Caramel Apples ,406,452,456,0,0,378,455,283,479,718,0,0,287,248,542,378,438,0,0,188,190,489,491,244,0,0,284,281,276,184,0
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churros,156,96,126,0,0,120,114,108,150,138,0,0,96,120,90,66,180,0,0,168,168,183,243,123,0,0,246,108,192,132,0
Dogs,248,292.5,185.75,0,0,151.25,232.5,270.5,337,350,0,0,208,196.25,204.25,285,221,0,0,137.75,145.75,198.5,278.25,128.75,0,0,240.5,206,159.5,193.5,0
Corn,105.5,142,119.25,0,0,72,99.25,98.25,126,79,0,0,50,85.25,91,101.25,72,0,0,43.75,55.25,76.75,136.5,31,0,0,53.25,40,66,61.25,0
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,63,98,77,0,0,73,20,108,42,94,0,0,24,42,41,39,106,0,0,30,52,59,132,50,0,0,26,28,84,39,0
Funnel Cakes,695.5,801.5,917.5,0,0,408,306.5,568,692,1086,0,0,355,406,606,643,496.5,0,0,325,280.5,500.5,776.5,328,0,0,451.5,349,471.5,499,0
Dogs,354,205.75,371.75,0,0,224.5,263.5,217.5,233,405,0,0,270.75,317.75,327.5,260.5,338,0,0,256.75,108,243.25,354.5,195,0,0,285.75,211.5,199.25,147.5,0
Ice Cream,117.5,232.5,242.5,0,0,42.5,68.5,92.5,163,251.5,0,0,80,90,123,234.5,160.5,0,0,89,55.5,118,208.5,40.5,0,0,61,114.5,133.5,95.5,0
Oreos ,166,120.5,198,0,0,143.5,146,229.5,248.5,245.5,0,0,130,87.5,150.5,184.5,250,0,0,89,145.5,215.5,212.5,56.5,0,0,113.5,46.5,132,129.5,0
Popcorn,143.78,165.7,156.72,0,0,146.75,211.63,256.61,401.44,327.42,0,0,228.61,212.69,287.57,192.65,177.7,0,0,157.77,145.75,225.63,249.58,107.85,0,0,164.73,201.71,256.71,171.72,0
Ice Cream,28.5,49.5,46,0,0,14,7,23.5,16.5,16.5,0,0,23.5,7,15,21,7,0,0,19,0,7.5,24,7,0,0,0,0,16.5,9.5,0
Vegetarian Dogs,5,10,5,0,0,19.5,19.5,9.5,0,5,0,0,0,20,20,5,9.5,0,0,5,10,5,0,0,0,0,0,5,0,0,0
Vegetarian Dogs,0,0,5.5,0,0,11,5.5,5.5,10,26.25,0,0,11,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,10,0,10,0