Category,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21
Beverages,73.5,48.5,94.75,39.5,99.25,0,0,93.25,43,52.25,95.5,74.75,0,0,49.5,30,46.25,62.5,50,0,0,46.75,67.5,55.25,43.25,90.75,0,0,75.5,0
Caramel Apples ,453,474,552,509,603,0,0,364,410,604,571,688,0,0,329,274,480,637,703,0,0,404,445,521,480,508,0,0,374,0
Chicken Tenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogs,194,286.25,294.75,222,272,0,0,207.25,192.75,333,293.25,210.75,0,0,166.5,144.25,240.25,214,218.75,0,0,226.5,185.5,246.25,268.25,202.75,0,0,211,0
Corn,80,83,96.75,73,103,0,0,69,81,133.75,106.5,100.25,0,0,91,45,73.25,118.25,124.25,0,0,81.5,86.75,71,87.75,123,0,0,78.75,0
Covered Strawberries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fries,78,91,24,64,127,0,0,73,66,149,44,95,0,0,48,14,90,105,36,0,0,12,89,87,98,64,0,0,96,0
Funnel Cakes,854,689,1032.5,768.5,1151.5,0,0,573,512,805.5,707,1017.5,0,0,492.5,311.5,718,980.5,502,0,0,582,475.5,537.5,735.5,821,0,0,469.5,0
Dogs,270.25,355.25,236.25,307,320,0,0,360.5,329.5,575.75,556.25,382.75,0,0,300.5,200.5,264,282.75,223.25,0,0,230,391.75,422.5,279.5,316,0,0,220.5,0
Ice Cream,98.5,90.5,140,174,140.5,0,0,116.5,130,192,105.5,127,0,0,69,70,77.5,145.5,110.5,0,0,153,55.5,164,68.5,187,0,0,148,0
Oreos ,157,179,303.5,134.5,187,0,0,154,167,238.5,213.5,283.5,0,0,116,63,232,228,222.5,0,0,98,111.5,239.5,170.5,193,0,0,184,0
Popcorn,206.64,184.68,262.55,218.6,168.67,0,0,150.76,222.59,273.61,209.66,190.65,0,0,197.66,112.8,190.67,226.69,246.61,0,0,243.56,192.69,189.65,190.71,257.64,0,0,187.72,798
Ice Cream,36,20,16.5,28.5,49.5,0,0,41,28.5,14,14,64.5,0,0,58,7.5,14,68,33,0,0,32.5,26,51,20,44.5,0,0,40,0
Vegetarian Dogs,10,15.5,0,0,10,0,0,0,0,0,0,10.75,0,0,0,5.5,5.5,0,0,0,0,23.5,0,10,0,0,0,0,5.5,0
Vegetarian Dogs,0,10.5,0,5,24,0,0,19,0,24.75,35.25,14.5,0,0,20.75,0,30.75,5,12,0,0,0,24.5,35.75,25,0,0,0,23,0
Churros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,126,102,114,0,0,96,0